iter	Logloss
0	0.6639170723
1	0.6384415188
2	0.6161863169
3	0.596974594
4	0.5801692801
5	0.5655666015
6	0.5529001934
7	0.5418362243
8	0.5321461871
9	0.5238548186
10	0.5164500241
11	0.5100427344
12	0.5046084386
13	0.4996383748
14	0.4951706606
15	0.4914465957
16	0.4882507559
17	0.4850782026
18	0.4824699133
19	0.4800891235
20	0.4780676992
21	0.4762482433
22	0.4745733475
23	0.4731386513
24	0.4717066215
25	0.4704809313
26	0.4696080639
27	0.4685662853
28	0.4675796054
29	0.4667353106
30	0.4660096439
31	0.4652771792
32	0.4646712889
33	0.4640273114
34	0.4636460661
35	0.4631789844
36	0.4626318069
37	0.4622199293
38	0.4618234198
39	0.4615123949
40	0.4612633898
41	0.4609708208
42	0.4606644904
43	0.4603112425
44	0.4600031361
45	0.4597765646
46	0.4595455752
47	0.4592877658
48	0.4590583934
49	0.4588952431
50	0.4586998115
51	0.4585294625
52	0.4582992912
53	0.4581035942
54	0.457947628
55	0.4576934754
56	0.4575447347
57	0.4573847185
58	0.4571955022
59	0.4570617037
60	0.4568729482
61	0.456728185
62	0.4565010069
63	0.4563413735
64	0.4561906551
65	0.4560017751
66	0.4558985461
67	0.455776015
68	0.4556729713
69	0.4555540805
70	0.4554151237
71	0.4552773427
72	0.4551841577
73	0.4550704794
74	0.4549178154
75	0.4548386883
76	0.4547104437
77	0.4546045761
78	0.4545331153
79	0.4544206633
80	0.4542774363
81	0.4541490676
82	0.4540351789
83	0.4538794497
84	0.4537103125
85	0.453535004
86	0.4534418085
87	0.4532758116
88	0.4531393106
89	0.4530117544
90	0.452913202
91	0.4528328978
92	0.4527554044
93	0.4526473326
94	0.452466544
95	0.4523923409
96	0.4522236202
97	0.4521340862
98	0.4520130418
99	0.4518923656
100	0.4517737881
101	0.4516369921
102	0.4515711613
103	0.451452593
104	0.4513378614
105	0.4511881862
106	0.4510683803
107	0.4510169941
108	0.4508450635
109	0.4507635662
110	0.4506662829
111	0.4505248903
112	0.4504184922
113	0.4503339131
114	0.4502308237
115	0.450122365
116	0.4499508409
117	0.4498112547
118	0.4496882511
119	0.4495743746
120	0.4494409674
121	0.4493228711
122	0.4492460405
123	0.4491716266
124	0.4491219079
125	0.4490751231
126	0.4489638948
127	0.4488840867
128	0.4487994393
129	0.4486981774
130	0.4485450293
131	0.4484257887
132	0.4483630457
133	0.4482088785
134	0.448101345
135	0.4479752491
136	0.4478218207
137	0.4477352927
138	0.4476296575
139	0.4475670051
140	0.4474222272
141	0.4473557941
142	0.4472537992
143	0.4471351776
144	0.4470250318
145	0.4469353617
146	0.4468691683
147	0.4468037063
148	0.4466876269
149	0.4465612074
150	0.4464526411
151	0.4463602114
152	0.4462906181
153	0.446137983
154	0.4460370904
155	0.4459240166
156	0.4458092863
157	0.4457250782
158	0.445657395
159	0.4455910683
160	0.4455022857
161	0.4454059506
162	0.4453094095
163	0.4452554854
