iter	Passed	Remaining
0	156	156195
1	163	81550
2	170	56643
3	177	44252
4	184	36745
5	191	31797
6	199	28305
7	206	25665
8	215	23730
9	222	22062
10	229	20659
11	237	19558
12	244	18575
13	251	17746
14	259	17055
15	265	16324
16	272	15762
17	280	15284
18	287	14851
19	295	14474
20	302	14117
21	310	13788
22	318	13513
23	326	13277
24	334	13043
25	343	12863
26	349	12602
27	358	12446
28	366	12283
29	375	12148
30	384	12033
31	393	11909
32	403	11822
33	411	11700
34	418	11550
35	426	11419
36	436	11360
37	446	11310
38	457	11261
39	465	11182
40	475	11115
41	485	11080
42	494	11014
43	504	10962
44	512	10867
45	520	10797
46	528	10711
47	538	10684
48	548	10643
49	557	10600
50	568	10580
51	576	10507
52	586	10477
53	594	10421
54	603	10370
55	611	10315
56	619	10253
57	627	10188
58	635	10133
59	642	10064
60	650	10012
61	657	9950
62	666	9910
63	674	9869
64	682	9821
65	690	9777
66	698	9731
67	706	9680
68	714	9635
69	722	9603
70	730	9559
71	737	9507
72	745	9461
73	752	9418
74	759	9370
75	770	9364
76	778	9330
77	785	9285
78	792	9244
79	801	9219
80	808	9174
81	816	9137
82	823	9101
83	832	9074
84	839	9037
85	847	9003
86	854	8962
87	862	8939
88	869	8900
89	877	8868
90	884	8836
91	891	8801
92	899	8771
93	906	8738
94	914	8713
95	921	8680
96	929	8656
97	938	8635
98	945	8608
99	953	8583
100	963	8579
101	977	8605
102	987	8595
103	998	8598
104	1005	8567
105	1013	8546
106	1020	8516
107	1028	8496
108	1036	8470
109	1044	8451
110	1051	8421
111	1059	8403
112	1067	8376
113	1075	8359
114	1083	8336
115	1093	8333
116	1102	8317
117	1110	8301
118	1117	8276
119	1126	8259
120	1133	8233
121	1142	8218
122	1148	8191
123	1157	8178
124	1164	8153
125	1172	8136
126	1180	8112
127	1189	8100
128	1196	8079
129	1205	8068
130	1213	8048
131	1221	8035
132	1229	8015
133	1238	8000
134	1245	7981
135	1253	7964
136	1261	7948
137	1269	7926
138	1276	7908
139	1283	7886
140	1291	7869
141	1298	7847
142	1305	7825
143	1313	7806
144	1322	7795
145	1329	7776
146	1337	7760
147	1344	7739
148	1351	7721
149	1359	7702
150	1366	7681
151	1373	7664
152	1381	7648
153	1390	7638
154	1399	7627
155	1408	7618
156	1417	7608
157	1425	7596
158	1432	7579
159	1440	7560
160	1446	7539
161	1454	7523
162	1461	7506
163	1469	7489
164	1476	7473
165	1483	7455
166	1491	7439
167	1498	7423
168	1506	7407
169	1514	7392
170	1520	7373
171	1528	7357
172	1536	7346
173	1543	7328
174	1551	7315
175	1559	7301
176	1566	7285
177	1574	7270
178	1582	7259
179	1590	7245
180	1598	7231
181	1605	7217
182	1613	7203
183	1620	7188
184	1628	7173
185	1635	7157
186	1642	7140
187	1650	7129
188	1657	7113
189	1665	7100
190	1672	7083
191	1679	7067
192	1687	7054
193	1695	7045
194	1702	7029
195	1710	7014
196	1717	7001
197	1725	6990
198	1733	6977
199	1740	6960
200	1748	6951
201	1756	6937
202	1763	6925
203	1771	6911
204	1778	6896
205	1786	6884
206	1793	6870
207	1801	6859
208	1810	6851
209	1817	6839
210	1825	6826
211	1834	6817
212	1842	6806
213	1849	6792
214	1856	6778
215	1864	6767
216	1872	6755
217	1879	6742
218	1887	6729
219	1894	6715
220	1901	6703
221	1909	6691
222	1916	6678
223	1924	6667
224	1932	6655
225	1939	6642
226	1946	6629
227	1954	6618
228	1962	6605
229	1970	6596
230	1977	6581
